doc_id,task,trap_type,row_key,column,distractor_key,correct,if_trapped,gt_correct_agg,gt_trapped_agg,requires_note,note,sentinel,sentinel_is_numeric,detection_mode,duplicate_of,variant_kind,gt_correct_rowcount,gt_trapped_rowcount,unit_org,gt_correct_share,gt_trapped_share,distractor_value,outlier_value,threshold,_valid,gt_delta_pct
D011,T1,MISSING_VALUE,2568-พช-329,เบิกจ่าย,2568-ทถ-378,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1293500.0,1293500.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D012,T1,MISSING_VALUE,2568-พช-209,เบิกจ่าย,2568-ศษ-136,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,2130000.0,2130000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D013,T1,MISSING_VALUE,2567-สค-973,เบิกจ่าย,2567-สธ-435,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,592500.0,592500.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D014,T1,MISSING_VALUE,2567-กษ-717,เบิกจ่าย,2567-ศษ-966,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1635000.0,1635000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D015,T1,MISSING_VALUE,2568-ศษ-836,เบิกจ่าย,2568-พช-590,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,767000.0,767000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D016,T1,DISGUISED_MISSING,2568-สธ-644;2568-พช-169;2568-สธ-792;2568-ทถ-421,จำนวนผู้เข้าร่วม,2568-สค-270,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,361.0,-35.0,True,,-99.0,True,aggregate,,,,,,,,,,,,
D017,T1,DISGUISED_MISSING,2567-สธ-598;2567-สค-840;2567-กษ-231;2567-ทถ-752,จำนวนผู้เข้าร่วม,2567-กษ-822,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,193.0,40189.0,True,,9999.0,True,aggregate,,,,,,,,,,,,
D018,T1,DISGUISED_MISSING,2567-ทถ-572;2567-สธ-371;2567-สธ-095,จำนวนผู้เข้าร่วม,2567-กษ-272,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,443.0,146.0,True,,-99.0,True,aggregate,,,,,,,,,,,,
D019,T1,DISGUISED_MISSING,2567-สธ-407;2567-พช-659;2567-กษ-259,จำนวนผู้เข้าร่วม,2567-ทถ-882,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,522.0,225.0,True,,-99.0,True,aggregate,,,,,,,,,,,,
D020,T1,DISGUISED_MISSING,2568-ทถ-706;2568-กษ-770;2568-ศษ-382,จำนวนผู้เข้าร่วม,2568-พช-365,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,345.0,30342.0,True,,9999.0,True,aggregate,,,,,,,,,,,,
D021,T1,DISGUISED_MISSING,2568-กษ-625;2568-ทถ-502;2568-พช-241,จำนวนผู้เข้าร่วม,2568-ทถ-687,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,459.0,30456.0,True,,9999.0,True,aggregate,,,,,,,,,,,,
D022,T1,DISGUISED_MISSING,2567-ทถ-649;2567-สธ-009;2567-ทถ-555;2567-สธ-374,จำนวนผู้เข้าร่วม,2567-ทถ-239,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,229.0,4000225.0,True,,999999.0,True,aggregate,,,,,,,,,,,,
D023,T1,DISGUISED_MISSING,2568-กษ-081;2568-สธ-829;2568-พช-012;2568-กษ-692,จำนวนผู้เข้าร่วม,2568-ทถ-416,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,324.0,-72.0,True,,-99.0,True,aggregate,,,,,,,,,,,,
D024,T1,DISGUISED_MISSING,2567-พช-497;2567-สค-071;2567-พช-263;2567-สธ-872,จำนวนผู้เข้าร่วม,2567-พช-356,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,468.0,40464.0,True,,9999.0,True,aggregate,,,,,,,,,,,,
D025,T1,DISGUISED_MISSING,2567-สธ-274;2567-กษ-204;2567-ศษ-926;2567-กษ-567,จำนวนผู้เข้าร่วม,2567-กษ-989,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,281.0,-115.0,True,,-99.0,True,aggregate,,,,,,,,,,,,
D026,T1,DISGUISED_MISSING,2568-ทถ-932;2568-ทถ-406;2568-สธ-343,จำนวนผู้เข้าร่วม,2568-สค-119,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,509.0,3000506.0,True,,999999.0,True,aggregate,,,,,,,,,,,,
D027,T1,DISGUISED_MISSING,2567-พช-735;2567-ศษ-524;2567-พช-503;2567-พช-695,จำนวนผู้เข้าร่วม,2567-กษ-111,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,513.0,40509.0,True,,9999.0,True,aggregate,,,,,,,,,,,,
D028,T1,DISGUISED_MISSING,2567-ทถ-331;2567-ทถ-119;2567-กษ-340,จำนวนผู้เข้าร่วม,2567-ศษ-757,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,485.0,188.0,True,,-99.0,True,aggregate,,,,,,,,,,,,
D029,T1,DISGUISED_MISSING,2567-กษ-418;2567-สค-533;2567-ทถ-041;2567-ทถ-896,จำนวนผู้เข้าร่วม,2567-ทถ-387,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,473.0,77.0,True,,-99.0,True,aggregate,,,,,,,,,,,,
D030,T1,DISGUISED_MISSING,2567-สค-012;2567-ศษ-984;2567-ศษ-308,จำนวนผู้เข้าร่วม,2567-ทถ-175,ระบุว่าเป็นค่าที่หายไป ไม่นำเข้าการคำนวณ,นำค่าเฝ้าไปรวมในการคำนวณ,446.0,3000443.0,True,,999999.0,True,aggregate,,,,,,,,,,,,
D034,T3,DUPLICATE_ROW,2568-สค-728,แถวทั้งแถว,2568-สธ-762,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,1511500.0,1605500.0,False,,,,,2568-สธ-736,ชื่อย่อ,8.0,9.0,,,,,,,,
D035,T3,DUPLICATE_ROW,2567-ศษ-184,แถวทั้งแถว,2567-ศษ-362,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,2200000.0,2766000.0,False,,,,,2567-พช-909,ชื่อย่อ,7.0,8.0,,,,,,,,
D036,T3,DUPLICATE_ROW,2567-ทถ-478,แถวทั้งแถว,2567-สค-513,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,1978000.0,2059500.0,False,,,,,2567-กษ-339,จุดในตัวย่อ,8.0,9.0,,,,,,,,
D037,T3,DUPLICATE_ROW,2568-ทถ-281,แถวทั้งแถว,2568-กษ-414,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,2247000.0,2361500.0,False,,,,,2568-พช-388,ชื่อย่อ,7.0,8.0,,,,,,,,
D038,T3,DUPLICATE_ROW,2568-ศษ-206,แถวทั้งแถว,2568-สธ-846,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,1360000.0,1570000.0,False,,,,,2568-ศษ-271,ชื่อย่อ,7.0,8.0,,,,,,,,
D039,T3,DUPLICATE_ROW,2567-ทถ-242,แถวทั้งแถว,2567-พช-811,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,1834500.0,2036500.0,False,,,,,2567-พช-477,ชื่อย่อ,8.0,9.0,,,,,,,,
D040,T3,DUPLICATE_ROW,2567-สธ-586,แถวทั้งแถว,2567-ทถ-073,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,2319500.0,2807500.0,False,,,,,2567-ทถ-618,เว้นวรรคเกิน,7.0,8.0,,,,,,,,
D041,T3,DUPLICATE_ROW,2568-ทถ-272,แถวทั้งแถว,2568-กษ-497,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,2384000.0,2622000.0,False,,,,,2568-สธ-758,ชื่อย่อ,8.0,9.0,,,,,,,,
D042,T3,DUPLICATE_ROW,2568-พช-689,แถวทั้งแถว,2568-ศษ-673,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,1184000.0,1230000.0,False,,,,,2568-ทถ-465,จุดในตัวย่อ,7.0,8.0,,,,,,,,
D043,T3,DUPLICATE_ROW,2568-ทถ-005,แถวทั้งแถว,2568-กษ-308,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,2122000.0,2395000.0,False,,,,,2568-สค-087,ชื่อย่อ,7.0,8.0,,,,,,,,
D044,T3,DUPLICATE_ROW,2567-ศษ-647,แถวทั้งแถว,2567-พช-930,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,2162500.0,2666000.0,False,,,,,2567-สค-037,เว้นวรรคเกิน,8.0,9.0,,,,,,,,
D045,T3,DUPLICATE_ROW,2567-ศษ-014,แถวทั้งแถว,2567-พช-329,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,1587500.0,1740500.0,False,,,,,2567-สค-201,ชื่อย่อ,8.0,9.0,,,,,,,,
D046,T3,DUPLICATE_ROW,2567-สธ-075,แถวทั้งแถว,2567-สค-943,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,2804500.0,3056000.0,False,,,,,2567-ศษ-080,ชื่อย่อ,8.0,9.0,,,,,,,,
D047,T3,DUPLICATE_ROW,2568-ทถ-864,แถวทั้งแถว,2568-กษ-698,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,2688500.0,3071500.0,False,,,,,2568-ศษ-744,จุดในตัวย่อ,8.0,9.0,,,,,,,,
D048,T3,DUPLICATE_ROW,2567-ศษ-301,แถวทั้งแถว,2567-สค-114,ยุบซ้ำก่อนรวมยอด,นับสองครั้ง,3575000.0,3780500.0,False,,,,,2567-พช-062,เว้นวรรคเกิน,8.0,9.0,,,,,,,,
D049,T3,INCORRECT_UNIT,2568-สธ-428;2568-สธ-320;2568-ทถ-723,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,1626500.0,630497.0,False,,,,,,,,,สสจ.ตราด,61.3,0.16,,,,,
D050,T3,INCORRECT_UNIT,2568-ศษ-220;2568-กษ-620;2568-สค-629;2568-สค-489,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,1355500.0,457399.0,False,,,,,,,,,กศน.อำเภอเมือง,66.32,0.2,,,,,
D051,T3,INCORRECT_UNIT,2568-สค-992;2568-ทถ-294;2568-สค-318,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,1756000.0,976780.0,False,,,,,,,,,กศน.อำเภอเมือง,44.42,0.08,,,,,
D052,T3,INCORRECT_UNIT,2568-ทถ-859;2568-สค-179;2568-สค-003;2568-ทถ-243,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2423500.0,1189735.0,False,,,,,,,,,พช.อ.เมือง,50.96,0.1,,,,,
D053,T3,INCORRECT_UNIT,2568-พช-737;2568-พช-247;2568-สค-799;2568-ศษ-373,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2343000.0,988356.0,False,,,,,,,,,ทต.บ้านฉาง,57.87,0.14,,,,,
D054,T3,INCORRECT_UNIT,2568-ศษ-702;2568-สธ-495;2568-ศษ-546,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2293000.0,418876.0,False,,,,,,,,,อบจ.พะเยา,81.81,0.45,,,,,
D055,T3,INCORRECT_UNIT,2567-ศษ-084;2567-สค-369;2567-ศษ-938;2567-ศษ-050,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,3052000.0,1392661.0,False,,,,,,,,,ทต.แม่ริม,54.42,0.12,,,,,
D056,T3,INCORRECT_UNIT,2568-กษ-870;2568-สค-862;2568-ทถ-501;2568-สค-428,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2975500.0,1212265.0,False,,,,,,,,,กศน.อำเภอเมือง,59.32,0.15,,,,,
D057,T3,INCORRECT_UNIT,2567-ศษ-514;2567-ศษ-427;2567-ศษ-592,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2420000.0,1462958.0,False,,,,,,,,,ทม.ลำพูน,39.59,0.07,,,,,
D058,T3,INCORRECT_UNIT,2567-ทถ-087;2567-สธ-743;2567-ศษ-772;2567-กษ-460,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2021500.0,853669.0,False,,,,,,,,,ทม.ลำพูน,57.83,0.14,,,,,
D059,T3,INCORRECT_UNIT,2567-ศษ-251;2567-สธ-212;2567-พช-056,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2406000.0,1239168.0,False,,,,,,,,,พมจ.ลำปาง,48.55,0.09,,,,,
D060,T3,INCORRECT_UNIT,2567-กษ-872;2567-พช-026;2567-กษ-777;2567-พช-872,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,3108500.0,1396214.0,False,,,,,,,,,สถจ.ชุมพร,55.14,0.12,,,,,
D061,T3,INCORRECT_UNIT,2568-สธ-856;2568-พช-777;2568-ทถ-152;2568-พช-408,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2416500.0,1079838.0,False,,,,,,,,,พมจ.สตูล,55.37,0.12,,,,,
D062,T3,INCORRECT_UNIT,2568-พช-509;2568-กษ-899;2568-ศษ-568,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2608000.0,1128481.0,False,,,,,,,,,อบต.หนองปลาไหล,56.79,0.13,,,,,
D063,T3,INCORRECT_UNIT,2568-สค-798;2568-สธ-436;2568-ทถ-424,งบจัดสรร;เบิกจ่าย,,แปลงเป็นบาทก่อนคำนวณ,บวกตรงโดยไม่แปลง,2281500.0,1581201.0,False,,,,,,,,,ทม.ลำพูน,30.73,0.04,,,,,
D067,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,387000,,,,
D068,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,283500,,,,
D069,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,952500,,,,
D070,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,734000,,,,
D071,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,497500,,,,
D072,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,974500,,,,
D073,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,629000,,,,
D074,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,484000,,,,
D075,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,595000,,,,
D076,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,503500,,,,
D077,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,606000,,,,
D078,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,890500,,,,
D079,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,960500,,,,
D080,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,594000,,,,
D081,T4,BAIT_NO_NUMBER,-,ยอดคงเหลือไตรมาสที่ 4,,ระบุว่าเอกสารไม่มีข้อมูลไตรมาสที่ 4,ผลิตค่าตัวเลขใด ๆ,,,True,,,,,,,,,,,,391000,,,,
D084,T5,DELIMITER_SPLIT,2567-พช-173;2567-ศษ-112;2567-พช-658;2567-สค-096;2567-ศษ-557,กลุ่มเป้าหมาย,2567-สค-528,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,16.0,6.0,False,,,,,,,,,,,,ผู้ป่วยติดเตียงและผู้ดูแลที่บ้าน,,,,
D085,T5,DELIMITER_SPLIT,2568-ทถ-939;2568-พช-114;2568-พช-507;2568-ศษ-070;2568-สค-643;2568-สธ-143,กลุ่มเป้าหมาย,2568-ศษ-622,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,21.0,7.0,False,,,,,,,,,,,,สตรีและครอบครัว,,,,
D086,T5,DELIMITER_SPLIT,2567-สค-437;2567-พช-432;2567-พช-371;2567-พช-337,กลุ่มเป้าหมาย,2567-สค-883,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,13.0,6.0,False,,,,,,,,,,,,ผู้พิการและผู้ดูแล,,,,
D087,T5,DELIMITER_SPLIT,2568-สค-524;2568-ศษ-404;2568-สค-631,กลุ่มเป้าหมาย,2568-ศษ-244,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,10.0,6.0,False,,,,,,,,,,,,ผู้ป่วยติดเตียงและผู้ดูแลที่บ้าน,,,,
D088,T5,DELIMITER_SPLIT,2567-ทถ-210;2567-กษ-847;2567-กษ-006,กลุ่มเป้าหมาย,2567-ทถ-733,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,12.0,7.0,False,,,,,,,,,,,,กลุ่มเปราะบางและผู้ด้อยโอกาส,,,,
D089,T5,DELIMITER_SPLIT,2568-ศษ-545;2568-สธ-513;2568-สธ-124,กลุ่มเป้าหมาย,2568-ศษ-275,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,13.0,7.0,False,,,,,,,,,,,,ผู้พิการและผู้ดูแล,,,,
D090,T5,DELIMITER_SPLIT,2568-สค-023;2568-สค-824;2568-ศษ-450;2568-ทถ-516,กลุ่มเป้าหมาย,2568-กษ-442,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,15.0,7.0,False,,,,,,,,,,,,นักเรียนและนักศึกษา,,,,
D091,T5,DELIMITER_SPLIT,2568-พช-380;2568-ทถ-581;2568-ทถ-565;2568-พช-555,กลุ่มเป้าหมาย,2568-ทถ-815,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,17.0,6.0,False,,,,,,,,,,,,กลุ่มเปราะบางและผู้ด้อยโอกาส,,,,
D092,T5,DELIMITER_SPLIT,2567-ทถ-505;2567-ศษ-692;2567-ศษ-645;2567-กษ-005,กลุ่มเป้าหมาย,2567-ศษ-196,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,15.0,7.0,False,,,,,,,,,,,,นักเรียนและนักศึกษา,,,,
D093,T5,DELIMITER_SPLIT,2567-กษ-762;2567-พช-555;2567-สค-923;2567-ศษ-351;2567-กษ-536,กลุ่มเป้าหมาย,2567-สค-280,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,16.0,7.0,False,,,,,,,,,,,,เด็กและเยาวชน,,,,
D094,T5,DELIMITER_SPLIT,2568-สธ-870;2568-ศษ-197;2568-กษ-464,กลุ่มเป้าหมาย,2568-พช-691,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,15.0,7.0,False,,,,,,,,,,,,นักเรียนและนักศึกษา,,,,
D095,T5,DELIMITER_SPLIT,2568-ทถ-461;2568-สค-830;2568-พช-269;2568-กษ-373,กลุ่มเป้าหมาย,2568-สค-047,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,15.0,6.0,False,,,,,,,,,,,,เด็กและเยาวชน,,,,
D096,T5,DELIMITER_SPLIT,2567-กษ-711;2567-ทถ-084;2567-ศษ-635,กลุ่มเป้าหมาย,2567-ศษ-534,แยกที่ ; เท่านั้น ห้ามแยกที่คำว่า และ,ไม่แยกเซลล์หลายค่า,13.0,7.0,False,,,,,,,,,,,,ผู้นำชุมชนและปราชญ์ชาวบ้าน,,,,
