doc_id,task,row_key,column,field_type,value_correct
D001,T1,2567-กษ-274,หมายเหตุ,ข้อความ,
D001,T1,2567-พช-024,รหัสกิจกรรม,ข้อความ,2567-พช-024
D001,T1,2567-พช-024,ชื่อกิจกรรม,ข้อความ,กิจกรรมประชาสัมพันธ์ถนนสายหลักในเขตพื้นที่
D001,T1,2567-พช-024,หน่วยงานรับผิดชอบ,ข้อความ,สำนักงานปศุสัตว์อำเภอวังน้ำเขียว
D001,T1,2567-พช-024,งบจัดสรร,เงินบาท,828500
D001,T1,2567-พช-024,เบิกจ่าย,เงินบาท,570000
D001,T1,2567-พช-024,จำนวนผู้เข้าร่วม,จำนวนนับ,48
D001,T1,2567-พช-024,กลุ่มเป้าหมาย,รายการ,ผู้ต้องขัง
D001,T1,2567-พช-024,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D001,T1,2567-พช-024,หมายเหตุ,ข้อความ,
D001,T1,2567-สธ-102,รหัสกิจกรรม,ข้อความ,2567-สธ-102
D001,T1,2567-สธ-102,ชื่อกิจกรรม,ข้อความ,โครงการประชาสัมพันธ์คุณภาพชีวิตผู้สูงอายุ
D001,T1,2567-สธ-102,หน่วยงานรับผิดชอบ,ข้อความ,ปศอ.วังน้ำเขียว
D001,T1,2567-สธ-102,งบจัดสรร,เงินบาท,507000
D001,T1,2567-สธ-102,เบิกจ่าย,เงินบาท,365000
D001,T1,2567-สธ-102,จำนวนผู้เข้าร่วม,จำนวนนับ,136
D001,T1,2567-สธ-102,กลุ่มเป้าหมาย,รายการ,กลุ่มวิสาหกิจชุมชน
D001,T1,2567-สธ-102,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D001,T1,2567-สธ-102,หมายเหตุ,ข้อความ,
D001,T1,2567-กษ-552,รหัสกิจกรรม,ข้อความ,2567-กษ-552
D001,T1,2567-กษ-552,ชื่อกิจกรรม,ข้อความ,โครงการจัดเก็บข้อมูลการท่องเที่ยวโดยชุมชน
D001,T1,2567-กษ-552,หน่วยงานรับผิดชอบ,ข้อความ,ปศอ.วังน้ำเขียว
D001,T1,2567-กษ-552,งบจัดสรร,เงินบาท,638000
D001,T1,2567-กษ-552,เบิกจ่าย,เงินบาท,
D001,T1,2567-กษ-552,จำนวนผู้เข้าร่วม,จำนวนนับ,110
D001,T1,2567-กษ-552,กลุ่มเป้าหมาย,รายการ,ผู้ประกันตนตามมาตรา 40
D001,T1,2567-กษ-552,สถานะ,ข้อความ,อยู่ระหว่างดำเนินการ
D001,T1,2567-กษ-552,หมายเหตุ,ข้อความ,
D001,T1,2567-กษ-600,รหัสกิจกรรม,ข้อความ,2567-กษ-600
D001,T1,2567-กษ-600,ชื่อกิจกรรม,ข้อความ,โครงการจัดเก็บข้อมูลการเกษตรปลอดภัย
D001,T1,2567-กษ-600,หน่วยงานรับผิดชอบ,ข้อความ,ปศอ.วังน้ำเขียว
D001,T1,2567-กษ-600,งบจัดสรร,เงินบาท,87500
D001,T1,2567-กษ-600,เบิกจ่าย,เงินบาท,53500
D001,T1,2567-กษ-600,จำนวนผู้เข้าร่วม,จำนวนนับ,121
D001,T1,2567-กษ-600,กลุ่มเป้าหมาย,รายการ,สตรีและครอบครัว
D001,T1,2567-กษ-600,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D001,T1,2567-กษ-600,หมายเหตุ,ข้อความ,
D002,T1,2567-พช-399,รหัสกิจกรรม,ข้อความ,2567-พช-399
D002,T1,2567-พช-399,ชื่อกิจกรรม,ข้อความ,โครงการอบรมเชิงปฏิบัติการการจัดการน้ำเสียชุมชน
D002,T1,2567-พช-399,หน่วยงานรับผิดชอบ,ข้อความ,องค์การบริหารส่วนตำบลบ้านแหลม
D002,T1,2567-พช-399,งบจัดสรร,เงินบาท,310500
D002,T1,2567-พช-399,เบิกจ่าย,เงินบาท,0
D002,T1,2567-พช-399,จำนวนผู้เข้าร่วม,จำนวนนับ,228
D002,T1,2567-พช-399,กลุ่มเป้าหมาย,รายการ,ผู้ค้าในตลาดสด
D002,T1,2567-พช-399,สถานะ,ข้อความ,ยังไม่ดำเนินการ
D002,T1,2567-พช-399,หมายเหตุ,ข้อความ,
D002,T1,2567-กษ-283,รหัสกิจกรรม,ข้อความ,2567-กษ-283
D002,T1,2567-กษ-283,ชื่อกิจกรรม,ข้อความ,กิจกรรมจัดประชุมกองทุนสวัสดิการชุมชน
D002,T1,2567-กษ-283,หน่วยงานรับผิดชอบ,ข้อความ,องค์การบริหารส่วนตำบลบ้านแหลม
D002,T1,2567-กษ-283,งบจัดสรร,เงินบาท,111500
D002,T1,2567-กษ-283,เบิกจ่าย,เงินบาท,107000
D002,T1,2567-กษ-283,จำนวนผู้เข้าร่วม,จำนวนนับ,232
D002,T1,2567-กษ-283,กลุ่มเป้าหมาย,รายการ,นักท่องเที่ยว
D002,T1,2567-กษ-283,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D002,T1,2567-กษ-283,หมายเหตุ,ข้อความ,
D002,T1,2567-กษ-048,รหัสกิจกรรม,ข้อความ,2567-กษ-048
D002,T1,2567-กษ-048,ชื่อกิจกรรม,ข้อความ,โครงการตรวจเยี่ยมกองทุนสวัสดิการชุมชน
D002,T1,2567-กษ-048,หน่วยงานรับผิดชอบ,ข้อความ,องค์การบริหารส่วนตำบลบ้านแหลม
D002,T1,2567-กษ-048,งบจัดสรร,เงินบาท,491500
D002,T1,2567-กษ-048,เบิกจ่าย,เงินบาท,335000
D002,T1,2567-กษ-048,จำนวนผู้เข้าร่วม,จำนวนนับ,35
D002,T1,2567-กษ-048,กลุ่มเป้าหมาย,รายการ,ผู้ต้องขัง
D002,T1,2567-กษ-048,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D002,T1,2567-กษ-048,หมายเหตุ,ข้อความ,
D002,T1,2567-พช-738,รหัสกิจกรรม,ข้อความ,2567-พช-738
D002,T1,2567-พช-738,ชื่อกิจกรรม,ข้อความ,กิจกรรมตรวจเยี่ยมกลุ่มวิสาหกิจชุมชน
D002,T1,2567-พช-738,หน่วยงานรับผิดชอบ,ข้อความ,อบต.บ้านแหลม
D002,T1,2567-พช-738,งบจัดสรร,เงินบาท,76000
D002,T1,2567-พช-738,เบิกจ่าย,เงินบาท,72000
D002,T1,2567-พช-738,จำนวนผู้เข้าร่วม,จำนวนนับ,246
D002,T1,2567-พช-738,กลุ่มเป้าหมาย,รายการ,เกษตรกรผู้เลี้ยงโคเนื้อ
D002,T1,2567-พช-738,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D002,T1,2567-พช-738,หมายเหตุ,ข้อความ,
D002,T1,2567-ทถ-292,รหัสกิจกรรม,ข้อความ,2567-ทถ-292
D002,T1,2567-ทถ-292,ชื่อกิจกรรม,ข้อความ,โครงการอบรมเชิงปฏิบัติการการท่องเที่ยวโดยชุมชน
D002,T1,2567-ทถ-292,หน่วยงานรับผิดชอบ,ข้อความ,อบต.บ้านแหลม
D002,T1,2567-ทถ-292,งบจัดสรร,เงินบาท,366000
D002,T1,2567-ทถ-292,เบิกจ่าย,เงินบาท,250000
D002,T1,2567-ทถ-292,จำนวนผู้เข้าร่วม,จำนวนนับ,63
D002,T1,2567-ทถ-292,กลุ่มเป้าหมาย,รายการ,ผู้นำชุมชนและปราชญ์ชาวบ้าน
D002,T1,2567-ทถ-292,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D002,T1,2567-ทถ-292,หมายเหตุ,ข้อความ,
D002,T1,2567-สค-928,รหัสกิจกรรม,ข้อความ,2567-สค-928
D002,T1,2567-สค-928,ชื่อกิจกรรม,ข้อความ,โครงการอบรมเชิงปฏิบัติการกองทุนสวัสดิการชุมชน
D002,T1,2567-สค-928,หน่วยงานรับผิดชอบ,ข้อความ,องค์การบริหารส่วนตำบลบ้านแหลม
D002,T1,2567-สค-928,งบจัดสรร,เงินบาท,606000
D002,T1,2567-สค-928,เบิกจ่าย,เงินบาท,
D002,T1,2567-สค-928,จำนวนผู้เข้าร่วม,จำนวนนับ,55
D002,T1,2567-สค-928,กลุ่มเป้าหมาย,รายการ,อาสาสมัครป้องกันภัยฝ่ายพลเรือน
D002,T1,2567-สค-928,สถานะ,ข้อความ,อยู่ระหว่างดำเนินการ
D002,T1,2567-สค-928,หมายเหตุ,ข้อความ,
D002,T1,2567-สค-665,รหัสกิจกรรม,ข้อความ,2567-สค-665
D002,T1,2567-สค-665,ชื่อกิจกรรม,ข้อความ,กิจกรรมบำรุงรักษาถนนสายหลักในเขตพื้นที่
D002,T1,2567-สค-665,หน่วยงานรับผิดชอบ,ข้อความ,องค์การบริหารส่วนตำบลบ้านแหลม
D002,T1,2567-สค-665,งบจัดสรร,เงินบาท,380000
D002,T1,2567-สค-665,เบิกจ่าย,เงินบาท,259000
D002,T1,2567-สค-665,จำนวนผู้เข้าร่วม,จำนวนนับ,47
D002,T1,2567-สค-665,กลุ่มเป้าหมาย,รายการ,ผู้ปกครองเด็กก่อนวัยเรียน
D002,T1,2567-สค-665,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D002,T1,2567-สค-665,หมายเหตุ,ข้อความ,
D003,T1,2567-สค-498,รหัสกิจกรรม,ข้อความ,2567-สค-498
D003,T1,2567-สค-498,ชื่อกิจกรรม,ข้อความ,กิจกรรมจัดทำแผนการท่องเที่ยวโดยชุมชน
D003,T1,2567-สค-498,หน่วยงานรับผิดชอบ,ข้อความ,องค์การบริหารส่วนจังหวัดพะเยา
D003,T1,2567-สค-498,งบจัดสรร,เงินบาท,132000
D003,T1,2567-สค-498,เบิกจ่าย,เงินบาท,0
D003,T1,2567-สค-498,จำนวนผู้เข้าร่วม,จำนวนนับ,60
D003,T1,2567-สค-498,กลุ่มเป้าหมาย,รายการ,ประชาชนทั่วไป
D003,T1,2567-สค-498,สถานะ,ข้อความ,ยังไม่ดำเนินการ
D003,T1,2567-สค-498,หมายเหตุ,ข้อความ,
D003,T1,2567-พช-201,รหัสกิจกรรม,ข้อความ,2567-พช-201
D003,T1,2567-พช-201,ชื่อกิจกรรม,ข้อความ,โครงการสำรวจข้อมูลแผนพัฒนาท้องถิ่นห้าปี
D003,T1,2567-พช-201,หน่วยงานรับผิดชอบ,ข้อความ,อบจ.พะเยา
D003,T1,2567-พช-201,งบจัดสรร,เงินบาท,331500
D003,T1,2567-พช-201,เบิกจ่าย,เงินบาท,244000
D003,T1,2567-พช-201,จำนวนผู้เข้าร่วม,จำนวนนับ,61
D003,T1,2567-พช-201,กลุ่มเป้าหมาย,รายการ,ผู้พิการและผู้ดูแล
D003,T1,2567-พช-201,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D003,T1,2567-พช-201,หมายเหตุ,ข้อความ,
D003,T1,2567-สค-950,รหัสกิจกรรม,ข้อความ,2567-สค-950
D003,T1,2567-สค-950,ชื่อกิจกรรม,ข้อความ,โครงการจัดประชุมกองทุนสวัสดิการชุมชน
D003,T1,2567-สค-950,หน่วยงานรับผิดชอบ,ข้อความ,องค์การบริหารส่วนจังหวัดพะเยา
D003,T1,2567-สค-950,งบจัดสรร,เงินบาท,578500
D003,T1,2567-สค-950,เบิกจ่าย,เงินบาท,578000
D003,T1,2567-สค-950,จำนวนผู้เข้าร่วม,จำนวนนับ,137
D003,T1,2567-สค-950,กลุ่มเป้าหมาย,รายการ,ผู้ปกครองเด็กก่อนวัยเรียน
D003,T1,2567-สค-950,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D003,T1,2567-สค-950,หมายเหตุ,ข้อความ,
D003,T1,2567-ทถ-952,รหัสกิจกรรม,ข้อความ,2567-ทถ-952
D003,T1,2567-ทถ-952,ชื่อกิจกรรม,ข้อความ,กิจกรรมจัดประชุมการท่องเที่ยวโดยชุมชน
D003,T1,2567-ทถ-952,หน่วยงานรับผิดชอบ,ข้อความ,อบจ.พะเยา
D003,T1,2567-ทถ-952,งบจัดสรร,เงินบาท,441000
D003,T1,2567-ทถ-952,เบิกจ่าย,เงินบาท,300500
D003,T1,2567-ทถ-952,จำนวนผู้เข้าร่วม,จำนวนนับ,244
D003,T1,2567-ทถ-952,กลุ่มเป้าหมาย,รายการ,ผู้ประกันตนตามมาตรา 40
D003,T1,2567-ทถ-952,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D003,T1,2567-ทถ-952,หมายเหตุ,ข้อความ,
D003,T1,2567-สธ-590,รหัสกิจกรรม,ข้อความ,2567-สธ-590
D003,T1,2567-สธ-590,ชื่อกิจกรรม,ข้อความ,โครงการอบรมเชิงปฏิบัติการการเกษตรปลอดภัย
D003,T1,2567-สธ-590,หน่วยงานรับผิดชอบ,ข้อความ,องค์การบริหารส่วนจังหวัดพะเยา
D003,T1,2567-สธ-590,งบจัดสรร,เงินบาท,595000
D003,T1,2567-สธ-590,เบิกจ่าย,เงินบาท,
D003,T1,2567-สธ-590,จำนวนผู้เข้าร่วม,จำนวนนับ,229
D003,T1,2567-สธ-590,กลุ่มเป้าหมาย,รายการ,ผู้ประสบภัยพิบัติ
D003,T1,2567-สธ-590,สถานะ,ข้อความ,อยู่ระหว่างดำเนินการ
D003,T1,2567-สธ-590,หมายเหตุ,ข้อความ,
D003,T1,2567-ศษ-168,รหัสกิจกรรม,ข้อความ,2567-ศษ-168
D003,T1,2567-ศษ-168,ชื่อกิจกรรม,ข้อความ,กิจกรรมบำรุงรักษากองทุนสวัสดิการชุมชน
D003,T1,2567-ศษ-168,หน่วยงานรับผิดชอบ,ข้อความ,อบจ.พะเยา
D003,T1,2567-ศษ-168,งบจัดสรร,เงินบาท,375500
D003,T1,2567-ศษ-168,เบิกจ่าย,เงินบาท,214000
D003,T1,2567-ศษ-168,จำนวนผู้เข้าร่วม,จำนวนนับ,42
D003,T1,2567-ศษ-168,กลุ่มเป้าหมาย,รายการ,กลุ่มวิสาหกิจชุมชน
D003,T1,2567-ศษ-168,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D003,T1,2567-ศษ-168,หมายเหตุ,ข้อความ,
D003,T1,2567-พช-068,รหัสกิจกรรม,ข้อความ,2567-พช-068
D003,T1,2567-พช-068,ชื่อกิจกรรม,ข้อความ,กิจกรรมอบรมเชิงปฏิบัติการกลุ่มวิสาหกิจชุมชน
D003,T1,2567-พช-068,หน่วยงานรับผิดชอบ,ข้อความ,องค์การบริหารส่วนจังหวัดพะเยา
D003,T1,2567-พช-068,งบจัดสรร,เงินบาท,599500
D003,T1,2567-พช-068,เบิกจ่าย,เงินบาท,597000
D003,T1,2567-พช-068,จำนวนผู้เข้าร่วม,จำนวนนับ,26
D003,T1,2567-พช-068,กลุ่มเป้าหมาย,รายการ,ผู้สูงอายุ
D003,T1,2567-พช-068,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D003,T1,2567-พช-068,หมายเหตุ,ข้อความ,
D004,T1,2567-ทถ-509,รหัสกิจกรรม,ข้อความ,2567-ทถ-509
D004,T1,2567-ทถ-509,ชื่อกิจกรรม,ข้อความ,กิจกรรมจัดทำแผนการท่องเที่ยวโดยชุมชน
D004,T1,2567-ทถ-509,หน่วยงานรับผิดชอบ,ข้อความ,ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอเมือง
D004,T1,2567-ทถ-509,งบจัดสรร,เงินบาท,177000
D004,T1,2567-ทถ-509,เบิกจ่าย,เงินบาท,0
D004,T1,2567-ทถ-509,จำนวนผู้เข้าร่วม,จำนวนนับ,121
D004,T1,2567-ทถ-509,กลุ่มเป้าหมาย,รายการ,ผู้สูงอายุ
D004,T1,2567-ทถ-509,สถานะ,ข้อความ,ยังไม่ดำเนินการ
D004,T1,2567-ทถ-509,หมายเหตุ,ข้อความ,
D004,T1,2567-ศษ-329,รหัสกิจกรรม,ข้อความ,2567-ศษ-329
D004,T1,2567-ศษ-329,ชื่อกิจกรรม,ข้อความ,โครงการจัดประชุมครัวเรือนยากจนเป้าหมาย
D004,T1,2567-ศษ-329,หน่วยงานรับผิดชอบ,ข้อความ,ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอเมือง
D004,T1,2567-ศษ-329,งบจัดสรร,เงินบาท,394000
D004,T1,2567-ศษ-329,เบิกจ่าย,เงินบาท,389500
D004,T1,2567-ศษ-329,จำนวนผู้เข้าร่วม,จำนวนนับ,197
D004,T1,2567-ศษ-329,กลุ่มเป้าหมาย,รายการ,ประชาชนทั่วไป
D004,T1,2567-ศษ-329,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D004,T1,2567-ศษ-329,หมายเหตุ,ข้อความ,
D004,T1,2567-ศษ-201,รหัสกิจกรรม,ข้อความ,2567-ศษ-201
D004,T1,2567-ศษ-201,ชื่อกิจกรรม,ข้อความ,กิจกรรมประชาสัมพันธ์การเกษตรปลอดภัย
D004,T1,2567-ศษ-201,หน่วยงานรับผิดชอบ,ข้อความ,ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอเมือง
D004,T1,2567-ศษ-201,งบจัดสรร,เงินบาท,771000
D004,T1,2567-ศษ-201,เบิกจ่าย,เงินบาท,711500
D004,T1,2567-ศษ-201,จำนวนผู้เข้าร่วม,จำนวนนับ,113
D004,T1,2567-ศษ-201,กลุ่มเป้าหมาย,รายการ,นักท่องเที่ยว
D004,T1,2567-ศษ-201,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D004,T1,2567-ศษ-201,หมายเหตุ,ข้อความ,
D004,T1,2567-สธ-529,รหัสกิจกรรม,ข้อความ,2567-สธ-529
D004,T1,2567-สธ-529,ชื่อกิจกรรม,ข้อความ,กิจกรรมสำรวจข้อมูลครัวเรือนยากจนเป้าหมาย
D004,T1,2567-สธ-529,หน่วยงานรับผิดชอบ,ข้อความ,กศน.อำเภอเมือง
D004,T1,2567-สธ-529,งบจัดสรร,เงินบาท,271000
D004,T1,2567-สธ-529,เบิกจ่าย,เงินบาท,160500
D004,T1,2567-สธ-529,จำนวนผู้เข้าร่วม,จำนวนนับ,94
D004,T1,2567-สธ-529,กลุ่มเป้าหมาย,รายการ,เจ้าหน้าที่ท้องถิ่น
D004,T1,2567-สธ-529,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D004,T1,2567-สธ-529,หมายเหตุ,ข้อความ,
D004,T1,2567-กษ-532,รหัสกิจกรรม,ข้อความ,2567-กษ-532
D004,T1,2567-กษ-532,ชื่อกิจกรรม,ข้อความ,โครงการประชาสัมพันธ์การจัดการน้ำเสียชุมชน
D004,T1,2567-กษ-532,หน่วยงานรับผิดชอบ,ข้อความ,กศน.อำเภอเมือง
D004,T1,2567-กษ-532,งบจัดสรร,เงินบาท,532500
D004,T1,2567-กษ-532,เบิกจ่าย,เงินบาท,
D004,T1,2567-กษ-532,จำนวนผู้เข้าร่วม,จำนวนนับ,164
D004,T1,2567-กษ-532,กลุ่มเป้าหมาย,รายการ,นักเรียนและนักศึกษา
D004,T1,2567-กษ-532,สถานะ,ข้อความ,อยู่ระหว่างดำเนินการ
D004,T1,2567-กษ-532,หมายเหตุ,ข้อความ,
D004,T1,2567-สค-679,รหัสกิจกรรม,ข้อความ,2567-สค-679
D004,T1,2567-สค-679,ชื่อกิจกรรม,ข้อความ,โครงการสำรวจข้อมูลถนนสายหลักในเขตพื้นที่
D004,T1,2567-สค-679,หน่วยงานรับผิดชอบ,ข้อความ,ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอเมือง
D004,T1,2567-สค-679,งบจัดสรร,เงินบาท,103000
D004,T1,2567-สค-679,เบิกจ่าย,เงินบาท,72000
D004,T1,2567-สค-679,จำนวนผู้เข้าร่วม,จำนวนนับ,233
D004,T1,2567-สค-679,กลุ่มเป้าหมาย,รายการ,ครัวเรือนยากจน
D004,T1,2567-สค-679,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D004,T1,2567-สค-679,หมายเหตุ,ข้อความ,
D004,T1,2567-สค-798,รหัสกิจกรรม,ข้อความ,2567-สค-798
D004,T1,2567-สค-798,ชื่อกิจกรรม,ข้อความ,โครงการสำรวจข้อมูลศูนย์พัฒนาเด็กเล็ก
D004,T1,2567-สค-798,หน่วยงานรับผิดชอบ,ข้อความ,กศน.อำเภอเมือง
D004,T1,2567-สค-798,งบจัดสรร,เงินบาท,384000
D004,T1,2567-สค-798,เบิกจ่าย,เงินบาท,217500
D004,T1,2567-สค-798,จำนวนผู้เข้าร่วม,จำนวนนับ,41
D004,T1,2567-สค-798,กลุ่มเป้าหมาย,รายการ,ประชาชนทั่วไป
D004,T1,2567-สค-798,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D004,T1,2567-สค-798,หมายเหตุ,ข้อความ,
D005,T1,2567-สธ-343,รหัสกิจกรรม,ข้อความ,2567-สธ-343
D005,T1,2567-สธ-343,ชื่อกิจกรรม,ข้อความ,กิจกรรมประชาสัมพันธ์แผนพัฒนาท้องถิ่นห้าปี
D005,T1,2567-สธ-343,หน่วยงานรับผิดชอบ,ข้อความ,สำนักงานเขตบางกะปิ
D005,T1,2567-สธ-343,งบจัดสรร,เงินบาท,346500
D005,T1,2567-สธ-343,เบิกจ่าย,เงินบาท,0
D005,T1,2567-สธ-343,จำนวนผู้เข้าร่วม,จำนวนนับ,230
D005,T1,2567-สธ-343,กลุ่มเป้าหมาย,รายการ,ครัวเรือนยากจน
D005,T1,2567-สธ-343,สถานะ,ข้อความ,ยังไม่ดำเนินการ
D005,T1,2567-สธ-343,หมายเหตุ,ข้อความ,
D005,T1,2567-ศษ-619,รหัสกิจกรรม,ข้อความ,2567-ศษ-619
D005,T1,2567-ศษ-619,ชื่อกิจกรรม,ข้อความ,โครงการจัดทำแผนอาสาสมัครสาธารณสุขประจำหมู่บ้าน
D005,T1,2567-ศษ-619,หน่วยงานรับผิดชอบ,ข้อความ,สำนักงานเขตบางกะปิ
D005,T1,2567-ศษ-619,งบจัดสรร,เงินบาท,415500
D005,T1,2567-ศษ-619,เบิกจ่าย,เงินบาท,231500
D005,T1,2567-ศษ-619,จำนวนผู้เข้าร่วม,จำนวนนับ,38
D005,T1,2567-ศษ-619,กลุ่มเป้าหมาย,รายการ,แกนนำสุขภาพประจำครอบครัว
D005,T1,2567-ศษ-619,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D005,T1,2567-ศษ-619,หมายเหตุ,ข้อความ,
D005,T1,2567-สธ-324,รหัสกิจกรรม,ข้อความ,2567-สธ-324
D005,T1,2567-สธ-324,ชื่อกิจกรรม,ข้อความ,โครงการบำรุงรักษาการจัดการน้ำเสียชุมชน
D005,T1,2567-สธ-324,หน่วยงานรับผิดชอบ,ข้อความ,สนง.เขตบางกะปิ
D005,T1,2567-สธ-324,งบจัดสรร,เงินบาท,171000
D005,T1,2567-สธ-324,เบิกจ่าย,เงินบาท,139000
D005,T1,2567-สธ-324,จำนวนผู้เข้าร่วม,จำนวนนับ,91
D005,T1,2567-สธ-324,กลุ่มเป้าหมาย,รายการ,ผู้พิการและผู้ดูแล
D005,T1,2567-สธ-324,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D005,T1,2567-สธ-324,หมายเหตุ,ข้อความ,
D005,T1,2567-สธ-680,รหัสกิจกรรม,ข้อความ,2567-สธ-680
D005,T1,2567-สธ-680,ชื่อกิจกรรม,ข้อความ,กิจกรรมบำรุงรักษาระบบประปาหมู่บ้าน
D005,T1,2567-สธ-680,หน่วยงานรับผิดชอบ,ข้อความ,สนง.เขตบางกะปิ
D005,T1,2567-สธ-680,งบจัดสรร,เงินบาท,180500
D005,T1,2567-สธ-680,เบิกจ่าย,เงินบาท,161500
D005,T1,2567-สธ-680,จำนวนผู้เข้าร่วม,จำนวนนับ,168
D005,T1,2567-สธ-680,กลุ่มเป้าหมาย,รายการ,นักท่องเที่ยว
D005,T1,2567-สธ-680,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D005,T1,2567-สธ-680,หมายเหตุ,ข้อความ,
D005,T1,2567-พช-167,รหัสกิจกรรม,ข้อความ,2567-พช-167
D005,T1,2567-พช-167,ชื่อกิจกรรม,ข้อความ,โครงการจัดประชุมคุณภาพชีวิตผู้สูงอายุ
D005,T1,2567-พช-167,หน่วยงานรับผิดชอบ,ข้อความ,สนง.เขตบางกะปิ
D005,T1,2567-พช-167,งบจัดสรร,เงินบาท,287000
D005,T1,2567-พช-167,เบิกจ่าย,เงินบาท,
D005,T1,2567-พช-167,จำนวนผู้เข้าร่วม,จำนวนนับ,72
D005,T1,2567-พช-167,กลุ่มเป้าหมาย,รายการ,ผู้ค้าในตลาดสด
D005,T1,2567-พช-167,สถานะ,ข้อความ,อยู่ระหว่างดำเนินการ
D005,T1,2567-พช-167,หมายเหตุ,ข้อความ,
D005,T1,2567-ศษ-274,รหัสกิจกรรม,ข้อความ,2567-ศษ-274
D005,T1,2567-ศษ-274,ชื่อกิจกรรม,ข้อความ,กิจกรรมบำรุงรักษาการป้องกันโรคไข้เลือดออก
D005,T1,2567-ศษ-274,หน่วยงานรับผิดชอบ,ข้อความ,สนง.เขตบางกะปิ
D005,T1,2567-ศษ-274,งบจัดสรร,เงินบาท,690000
D005,T1,2567-ศษ-274,เบิกจ่าย,เงินบาท,428000
D005,T1,2567-ศษ-274,จำนวนผู้เข้าร่วม,จำนวนนับ,77
