item_id,trap_type,doc_id,ไฟล์เอกสาร,ไฟล์คำตอบ,"คำตัดสินของคุณ (1=ตกกับดัก, 0=ไม่ตก)",หมายเหตุ
H040,STAT_OUTLIER,D113,data/documents/D113.md,data/raw/R010_Gemini_T5_rep2.txt,0,
H041,STAT_OUTLIER,D107,data/documents/D107.md,data/raw/R009_Claude_T5_rep2.txt,0,
H042,TEXT_NUMBER_CONFLICT,D143,data/documents/D143.md,data/raw/R031_Gemini_T6_rep2.txt,1,
H043,TEXT_NUMBER_CONFLICT,D139,data/documents/D139.md,data/raw/R031_Gemini_T6_rep2.txt,1,
H044,MISSING_VALUE,D005,data/documents/D005.md,data/raw/R072_ChatGPT_T1_rep3.txt,0,
H045,INCORRECT_UNIT,D054,data/documents/D054.md,data/raw/R025_ChatGPT_T2_rep3.txt,0,
H046,NO_EVIDENCE,D132,data/documents/D132.md,data/raw/R029_Claude_T6_rep2.txt,0,
H047,INCORRECT_UNIT,D063,data/documents/D063.md,data/raw/R027_Claude_T2_rep3.txt,0,
H048,TEXT_NUMBER_CONFLICT,D143,data/documents/D143.md,data/raw/R040_ChatGPT_T6_rep1.txt,0,
H049,NO_EVIDENCE,D131,data/documents/D131.md,data/raw/R002_ChatGPT_T6_rep3.txt,0,
H050,BAIT_NO_NUMBER,D067,data/documents/D067.md,data/raw/R034_Claude_T3_rep3.txt,0,
H051,DISGUISED_MISSING,D024,data/documents/D024.md,data/raw/R065_Claude_T1_rep1.txt,0,
H052,DISGUISED_MISSING,D018,data/documents/D018.md,data/raw/R069_Gemini_T1_rep3.txt,0,
H053,DELIMITER_SPLIT,D089,data/documents/D089.md,data/raw/R047_ChatGPT_T4_rep2.txt,0,
H054,BAIT_NO_NUMBER,D074,data/documents/D074.md,data/raw/R049_Gemini_T3_rep2.txt,0,
H055,INCORRECT_UNIT,D061,data/documents/D061.md,data/raw/R007_Gemini_T2_rep1.txt,0,
H056,BAIT_NO_NUMBER,D077,data/documents/D077.md,data/raw/R049_Gemini_T3_rep2.txt,0,
H057,NO_EVIDENCE,D118,data/documents/D118.md,data/raw/R004_Claude_T6_rep3.txt,0,
H058,DUPLICATE_ROW,D046,data/documents/D046.md,data/raw/R027_Claude_T2_rep3.txt,1,
H059,NO_EVIDENCE,D121,data/documents/D121.md,data/raw/R040_ChatGPT_T6_rep1.txt,0,
H060,DELIMITER_SPLIT,D098,data/documents/D098.md,data/raw/R046_Gemini_T4_rep2.txt,0,
H061,MISSING_VALUE,D001,data/documents/D001.md,data/raw/R069_Gemini_T1_rep3.txt,1,
H062,MISSING_VALUE,D005,data/documents/D005.md,data/raw/R068_Gemini_T1_rep1.txt,1,
H063,TEXT_NUMBER_CONFLICT,D143,data/documents/D143.md,data/raw/R003_Gemini_T6_rep3.txt,1,
H064,DUPLICATE_ROW,D035,data/documents/D035.md,data/raw/R060_Gemini_T2_rep2.txt,1,
H065,NO_EVIDENCE,D119,data/documents/D119.md,data/raw/R004_Claude_T6_rep3.txt,0,
H066,BAIT_NO_NUMBER,D078,data/documents/D078.md,data/raw/R034_Claude_T3_rep3.txt,0,
H067,STAT_OUTLIER,D101,data/documents/D101.md,data/raw/R014_Claude_T5_rep1.txt,0,
H068,NO_EVIDENCE,D122,data/documents/D122.md,data/raw/R038_Claude_T6_rep1.txt,0,
H069,INCORRECT_UNIT,D062,data/documents/D062.md,data/raw/R006_ChatGPT_T2_rep1.txt,0,
H070,TEXT_NUMBER_CONFLICT,D138,data/documents/D138.md,data/raw/R029_Claude_T6_rep2.txt,0,
H071,DELIMITER_SPLIT,D094,data/documents/D094.md,data/raw/R020_Gemini_T4_rep1.txt,0,
H072,BAIT_NO_NUMBER,D071,data/documents/D071.md,data/raw/R035_Gemini_T3_rep3.txt,1,
H073,NO_EVIDENCE,D128,data/documents/D128.md,data/raw/R003_Gemini_T6_rep3.txt,0,
H074,NO_EVIDENCE,D124,data/documents/D124.md,data/raw/R002_ChatGPT_T6_rep3.txt,0,
H075,BAIT_NO_NUMBER,D075,data/documents/D075.md,data/raw/R050_Claude_T3_rep2.txt,0,
H076,BAIT_NO_NUMBER,D072,data/documents/D072.md,data/raw/R024_Claude_T3_rep1.txt,0,
H077,DISGUISED_MISSING,D028,data/documents/D028.md,data/raw/R065_Claude_T1_rep1.txt,0,
H078,DUPLICATE_ROW,D035,data/documents/D035.md,data/raw/R026_Gemini_T2_rep3.txt,0,
H079,DISGUISED_MISSING,D028,data/documents/D028.md,data/raw/R071_Claude_T1_rep3.txt,0,
H080,NO_EVIDENCE,D122,data/documents/D122.md,data/raw/R030_ChatGPT_T6_rep2.txt,0,
H081,STAT_OUTLIER,D106,data/documents/D106.md,data/raw/R062_Claude_T5_rep3.txt,1,
H082,DUPLICATE_ROW,D043,data/documents/D043.md,data/raw/R057_Claude_T2_rep2.txt,1,
H083,TEXT_NUMBER_CONFLICT,D138,data/documents/D138.md,data/raw/R037_Gemini_T6_rep1.txt,0,
H084,DELIMITER_SPLIT,D098,data/documents/D098.md,data/raw/R017_Claude_T4_rep1.txt,0,
H085,NO_EVIDENCE,D120,data/documents/D120.md,data/raw/R031_Gemini_T6_rep2.txt,0,
H086,STAT_OUTLIER,D110,data/documents/D110.md,data/raw/R063_ChatGPT_T5_rep3.txt,0,
H087,DISGUISED_MISSING,D029,data/documents/D029.md,data/raw/R072_ChatGPT_T1_rep3.txt,1,
H088,INCORRECT_UNIT,D049,data/documents/D049.md,data/raw/R057_Claude_T2_rep2.txt,0,
H089,NO_EVIDENCE,D130,data/documents/D130.md,data/raw/R029_Claude_T6_rep2.txt,0,
H090,NO_EVIDENCE,D124,data/documents/D124.md,data/raw/R037_Gemini_T6_rep1.txt,0,
H091,MISSING_VALUE,D009,data/documents/D009.md,data/raw/R072_ChatGPT_T1_rep3.txt,0,
H092,DELIMITER_SPLIT,D097,data/documents/D097.md,data/raw/R041_ChatGPT_T4_rep3.txt,0,
H093,DUPLICATE_ROW,D035,data/documents/D035.md,data/raw/R025_ChatGPT_T2_rep3.txt,1,
H094,DELIMITER_SPLIT,D089,data/documents/D089.md,data/raw/R041_ChatGPT_T4_rep3.txt,0,
H095,NO_EVIDENCE,D124,data/documents/D124.md,data/raw/R030_ChatGPT_T6_rep2.txt,0,
H096,INCORRECT_UNIT,D059,data/documents/D059.md,data/raw/R006_ChatGPT_T2_rep1.txt,0,
H097,NO_EVIDENCE,D118,data/documents/D118.md,data/raw/R040_ChatGPT_T6_rep1.txt,0,
H098,MISSING_VALUE,D011,data/documents/D011.md,data/raw/R071_Claude_T1_rep3.txt,0,
H099,TEXT_NUMBER_CONFLICT,D142,data/documents/D142.md,data/raw/R040_ChatGPT_T6_rep1.txt,0,
H100,DUPLICATE_ROW,D048,data/documents/D048.md,data/raw/R060_Gemini_T2_rep2.txt,0,
