item_id,run_id,model,task,doc_id,trap_type,trap_hit
H075,R050,Claude,T3,D075,BAIT_NO_NUMBER,0
H076,R024,Claude,T3,D072,BAIT_NO_NUMBER,0
H077,R065,Claude,T1,D028,DISGUISED_MISSING,0
H078,R026,Gemini,T2,D035,DUPLICATE_ROW,0
H079,R071,Claude,T1,D028,DISGUISED_MISSING,0
H080,R030,ChatGPT,T6,D122,NO_EVIDENCE,0
H081,R062,Claude,T5,D106,STAT_OUTLIER,1
H082,R057,Claude,T2,D043,DUPLICATE_ROW,1
H083,R037,Gemini,T6,D138,TEXT_NUMBER_CONFLICT,0
H084,R017,Claude,T4,D098,DELIMITER_SPLIT,0
H085,R031,Gemini,T6,D120,NO_EVIDENCE,0
H086,R063,ChatGPT,T5,D110,STAT_OUTLIER,0
H087,R072,ChatGPT,T1,D029,DISGUISED_MISSING,1
H088,R057,Claude,T2,D049,INCORRECT_UNIT,0
H089,R029,Claude,T6,D130,NO_EVIDENCE,0
H090,R037,Gemini,T6,D124,NO_EVIDENCE,0
H091,R072,ChatGPT,T1,D009,MISSING_VALUE,0
H092,R041,ChatGPT,T4,D097,DELIMITER_SPLIT,0
H093,R025,ChatGPT,T2,D035,DUPLICATE_ROW,1
H094,R041,ChatGPT,T4,D089,DELIMITER_SPLIT,0
H095,R030,ChatGPT,T6,D124,NO_EVIDENCE,0
H096,R006,ChatGPT,T2,D059,INCORRECT_UNIT,0
H097,R040,ChatGPT,T6,D118,NO_EVIDENCE,0
H098,R071,Claude,T1,D011,MISSING_VALUE,0
H099,R040,ChatGPT,T6,D142,TEXT_NUMBER_CONFLICT,0
H100,R060,Gemini,T2,D048,DUPLICATE_ROW,1
