วิธีคิด

ผมอ่านเอกสารทั้งหมด 33 ฉบับ (รหัส D034–D066) แล้วดึงกิจกรรมออกมาเป็นรายการ โดยยึดหลักดังนี้

1. ฟิลด์ "เหตุผล" — ตรวจสอบทุกเอกสารแล้วพบว่าไม่มีคอลัมน์หรือข้อความใดที่ระบุ "เหตุผล" ของกิจกรรมไว้เลยแม้แต่ฉบับเดียว (มีแต่ ชื่อกิจกรรม, หน่วยงาน, งบ, จำนวนผู้เข้าร่วม, กลุ่มเป้าหมาย, สถานะ, หมายเหตุ) จึงระบุ "ไม่มีข้อมูล" ในทุกรายการตามกติกาข้อ 4 ที่ให้ระบุแบบนี้เมื่อไม่ปรากฏข้อมูล ไม่มีการคาดเดา
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D034","รหัสกิจกรรม":"2568-พช-708","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลท่าข้าม","งบจัดสรรบาท":413000,"เบิกจ่ายบาท":330000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D034","รหัสกิจกรรม":"2568-สค-728","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลท่าข้าม","งบจัดสรรบาท":111500,"เบิกจ่ายบาท":94000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D034","รหัสกิจกรรม":"2568-สค-683","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลท่าข้าม","งบจัดสรรบาท":181000,"เบิกจ่ายบาท":113500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D034","รหัสกิจกรรม":"2568-สธ-762","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลท่าข้าม","งบจัดสรรบาท":126500,"เบิกจ่ายบาท":79000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D035","รหัสกิจกรรม":"2567-พช-909","หน่วยงานรับผิดชอบ":"สำนักงานปศุสัตว์อำเภอวังน้ำเขียว","งบจัดสรรบาท":799000,"เบิกจ่ายบาท":566000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D035","รหัสกิจกรรม":"2567-สธ-142","หน่วยงานรับผิดชอบ":"สำนักงานปศุสัตว์อำเภอวังน้ำเขียว","งบจัดสรรบาท":392500,"เบิกจ่ายบาท":330500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D035","รหัสกิจกรรม":"2567-สธ-096","หน่วยงานรับผิดชอบ":"สำนักงานปศุสัตว์อำเภอวังน้ำเขียว","งบจัดสรรบาท":480500,"เบิกจ่ายบาท":294000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D035","รหัสกิจกรรม":"2567-กษ-382","หน่วยงานรับผิดชอบ":"สำนักงานปศุสัตว์อำเภอวังน้ำเขียว","งบจัดสรรบาท":639000,"เบิกจ่ายบาท":365500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D035","รหัสกิจกรรม":"2567-พช-460","หน่วยงานรับผิดชอบ":"สำนักงานปศุสัตว์อำเภอวังน้ำเขียว","งบจัดสรรบาท":236500,"เบิกจ่ายบาท":215000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D035","รหัสกิจกรรม":"2567-ศษ-466","หน่วยงานรับผิดชอบ":"สำนักงานปศุสัตว์อำเภอวังน้ำเขียว","งบจัดสรรบาท":34500,"เบิกจ่ายบาท":33000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D035","รหัสกิจกรรม":"2567-ศษ-184","หน่วยงานรับผิดชอบ":"สำนักงานปศุสัตว์อำเภอวังน้ำเขียว","งบจัดสรรบาท":799000,"เบิกจ่ายบาท":566000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D035","รหัสกิจกรรม":"2567-ศษ-362","หน่วยงานรับผิดชอบ":"สำนักงานปศุสัตว์อำเภอวังน้ำเขียว","งบจัดสรรบาท":559000,"เบิกจ่ายบาท":396000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D036","รหัสกิจกรรม":"2567-กษ-339","หน่วยงานรับผิดชอบ":"สำนักงานเกษตรอำเภอปาย","งบจัดสรรบาท":108500,"เบิกจ่ายบาท":81500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D036","รหัสกิจกรรม":"2567-สค-475","หน่วยงานรับผิดชอบ":"สำนักงานเกษตรอำเภอปาย","งบจัดสรรบาท":361500,"เบิกจ่ายบาท":355000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D036","รหัสกิจกรรม":"2567-สธ-381","หน่วยงานรับผิดชอบ":"สำนักงานเกษตรอำเภอปาย","งบจัดสรรบาท":506000,"เบิกจ่ายบาท":499000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D036","รหัสกิจกรรม":"2567-ทถ-182","หน่วยงานรับผิดชอบ":"สำนักงานเกษตรอำเภอปาย","งบจัดสรรบาท":167000,"เบิกจ่ายบาท":166000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D036","รหัสกิจกรรม":"2567-ทถ-629","หน่วยงานรับผิดชอบ":"สำนักงานเกษตรอำเภอปาย","งบจัดสรรบาท":706000,"เบิกจ่ายบาท":462000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D036","รหัสกิจกรรม":"2567-ทถ-069","หน่วยงานรับผิดชอบ":"สำนักงานเกษตรอำเภอปาย","งบจัดสรรบาท":313000,"เบิกจ่ายบาท":257500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D036","รหัสกิจกรรม":"2567-ทถ-478","หน่วยงานรับผิดชอบ":"สำนักงานเกษตรอำเภอปาย","งบจัดสรรบาท":108500,"เบิกจ่ายบาท":81500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D036","รหัสกิจกรรม":"2567-ศษ-968","หน่วยงานรับผิดชอบ":"สำนักงานเกษตรอำเภอปาย","งบจัดสรรบาท":93500,"เบิกจ่ายบาท":92500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D036","รหัสกิจกรรม":"2567-สค-513","หน่วยงานรับผิดชอบ":"สำนักงานเกษตรอำเภอปาย","งบจัดสรรบาท":65000,"เบิกจ่ายบาท":64500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D037","รหัสกิจกรรม":"2568-พช-388","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":143500,"เบิกจ่ายบาท":114500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D037","รหัสกิจกรรม":"2568-ศษ-954","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":110000,"เบิกจ่ายบาท":75000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D037","รหัสกิจกรรม":"2568-ทถ-472","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":621000,"เบิกจ่ายบาท":587000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D037","รหัสกิจกรรม":"2568-กษ-714","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":369500,"เบิกจ่ายบาท":315000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D037","รหัสกิจกรรม":"2568-พช-568","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":779000,"เบิกจ่ายบาท":433000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D037","รหัสกิจกรรม":"2568-สธ-209","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":664500,"เบิกจ่ายบาท":642500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D037","รหัสกิจกรรม":"2568-ทถ-281","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":143500,"เบิกจ่ายบาท":114500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D037","รหัสกิจกรรม":"2568-กษ-414","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":100000,"เบิกจ่ายบาท":80000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D038","รหัสกิจกรรม":"2568-ศษ-271","หน่วยงานรับผิดชอบ":"ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอบ้านโป่ง","งบจัดสรรบาท":358000,"เบิกจ่ายบาท":210000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D038","รหัสกิจกรรม":"2568-ทถ-314","หน่วยงานรับผิดชอบ":"ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอบ้านโป่ง","งบจัดสรรบาท":64000,"เบิกจ่ายบาท":37500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D038","รหัสกิจกรรม":"2568-พช-135","หน่วยงานรับผิดชอบ":"ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอบ้านโป่ง","งบจัดสรรบาท":346500,"เบิกจ่ายบาท":206500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D038","รหัสกิจกรรม":"2568-พช-463","หน่วยงานรับผิดชอบ":"ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอบ้านโป่ง","งบจัดสรรบาท":133500,"เบิกจ่ายบาท":93500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D038","รหัสกิจกรรม":"2568-พช-779","หน่วยงานรับผิดชอบ":"ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอบ้านโป่ง","งบจัดสรรบาท":567500,"เบิกจ่ายบาท":386000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D038","รหัสกิจกรรม":"2568-พช-858","หน่วยงานรับผิดชอบ":"ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอบ้านโป่ง","งบจัดสรรบาท":337500,"เบิกจ่ายบาท":279500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D038","รหัสกิจกรรม":"2568-ศษ-206","หน่วยงานรับผิดชอบ":"ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอบ้านโป่ง","งบจัดสรรบาท":358000,"เบิกจ่ายบาท":210000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D038","รหัสกิจกรรม":"2568-สธ-846","หน่วยงานรับผิดชอบ":"ศูนย์การศึกษานอกระบบและการศึกษาตามอัธยาศัยอำเภอบ้านโป่ง","งบจัดสรรบาท":250500,"เบิกจ่ายบาท":147000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D039","รหัสกิจกรรม":"2567-พช-477","หน่วยงานรับผิดชอบ":"สำนักงานเขตหนองแขม","งบจัดสรรบาท":313000,"เบิกจ่ายบาท":202000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D039","รหัสกิจกรรม":"2567-ศษ-864","หน่วยงานรับผิดชอบ":"สำนักงานเขตหนองแขม","งบจัดสรรบาท":213000,"เบิกจ่ายบาท":121500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D039","รหัสกิจกรรม":"2567-พช-053","หน่วยงานรับผิดชอบ":"สำนักงานเขตหนองแขม","งบจัดสรรบาท":552500,"เบิกจ่ายบาท":522500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D039","รหัสกิจกรรม":"2567-กษ-376","หน่วยงานรับผิดชอบ":"สำนักงานเขตหนองแขม","งบจัดสรรบาท":472500,"เบิกจ่ายบาท":434500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D039","รหัสกิจกรรม":"2567-ทถ-597","หน่วยงานรับผิดชอบ":"สำนักงานเขตหนองแขม","งบจัดสรรบาท":411500,"เบิกจ่ายบาท":259000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D039","รหัสกิจกรรม":"2567-ทถ-789","หน่วยงานรับผิดชอบ":"สำนักงานเขตหนองแขม","งบจัดสรรบาท":69000,"เบิกจ่ายบาท":60000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D039","รหัสกิจกรรม":"2567-พช-952","หน่วยงานรับผิดชอบ":"สำนักงานเขตหนองแขม","งบจัดสรรบาท":114000,"เบิกจ่ายบาท":94000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D039","รหัสกิจกรรม":"2567-ทถ-242","หน่วยงานรับผิดชอบ":"สำนักงานเขตหนองแขม","งบจัดสรรบาท":313000,"เบิกจ่ายบาท":202000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D039","รหัสกิจกรรม":"2567-พช-811","หน่วยงานรับผิดชอบ":"สำนักงานเขตหนองแขม","งบจัดสรรบาท":219000,"เบิกจ่ายบาท":141000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D040","รหัสกิจกรรม":"2567-ทถ-618","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":738000,"เบิกจ่ายบาท":488000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D040","รหัสกิจกรรม":"2567-สค-207","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":228500,"เบิกจ่ายบาท":200000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D040","รหัสกิจกรรม":"2567-ทถ-284","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":73500,"เบิกจ่ายบาท":44000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D040","รหัสกิจกรรม":"2567-กษ-776","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":149000,"เบิกจ่ายบาท":139000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D040","รหัสกิจกรรม":"2567-ศษ-687","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":716500,"เบิกจ่ายบาท":706500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D040","รหัสกิจกรรม":"2567-ทถ-640","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":524000,"เบิกจ่ายบาท":400500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D040","รหัสกิจกรรม":"2567-สธ-586","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":738000,"เบิกจ่ายบาท":488000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D040","รหัสกิจกรรม":"2567-ทถ-073","หน่วยงานรับผิดชอบ":"สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัดชุมพร","งบจัดสรรบาท":516500,"เบิกจ่ายบาท":341500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D041","รหัสกิจกรรม":"2568-สธ-758","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาชุมชนอำเภอปากช่อง","งบจัดสรรบาท":382500,"เบิกจ่ายบาท":238000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D041","รหัสกิจกรรม":"2568-พช-973","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาชุมชนอำเภอปากช่อง","งบจัดสรรบาท":677500,"เบิกจ่ายบาท":542000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D041","รหัสกิจกรรม":"2568-พช-770","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาชุมชนอำเภอปากช่อง","งบจัดสรรบาท":198500,"เบิกจ่ายบาท":158000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D041","รหัสกิจกรรม":"2568-สธ-910","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาชุมชนอำเภอปากช่อง","งบจัดสรรบาท":180500,"เบิกจ่ายบาท":114500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D041","รหัสกิจกรรม":"2568-ศษ-313","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาชุมชนอำเภอปากช่อง","งบจัดสรรบาท":672500,"เบิกจ่ายบาท":393500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D041","รหัสกิจกรรม":"2568-ศษ-392","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาชุมชนอำเภอปากช่อง","งบจัดสรรบาท":264500,"เบิกจ่ายบาท":206500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D041","รหัสกิจกรรม":"2568-กษ-602","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาชุมชนอำเภอปากช่อง","งบจัดสรรบาท":660500,"เบิกจ่ายบาท":565000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D041","รหัสกิจกรรม":"2568-ทถ-272","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาชุมชนอำเภอปากช่อง","งบจัดสรรบาท":382500,"เบิกจ่ายบาท":238000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D041","รหัสกิจกรรม":"2568-กษ-497","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาชุมชนอำเภอปากช่อง","งบจัดสรรบาท":267500,"เบิกจ่ายบาท":166500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D042","รหัสกิจกรรม":"2568-ทถ-465","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสตูล","งบจัดสรรบาท":73500,"เบิกจ่ายบาท":46000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D042","รหัสกิจกรรม":"2568-กษ-617","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสตูล","งบจัดสรรบาท":176000,"เบิกจ่ายบาท":165500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D042","รหัสกิจกรรม":"2568-สค-277","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสตูล","งบจัดสรรบาท":227500,"เบิกจ่ายบาท":165000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D042","รหัสกิจกรรม":"2568-ศษ-041","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสตูล","งบจัดสรรบาท":262500,"เบิกจ่ายบาท":213500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D042","รหัสกิจกรรม":"2568-ทถ-418","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสตูล","งบจัดสรรบาท":209000,"เบิกจ่ายบาท":169000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D042","รหัสกิจกรรม":"2568-กษ-663","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสตูล","งบจัดสรรบาท":532500,"เบิกจ่ายบาท":393000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D042","รหัสกิจกรรม":"2568-พช-689","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสตูล","งบจัดสรรบาท":73500,"เบิกจ่ายบาท":46000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D042","รหัสกิจกรรม":"2568-ศษ-673","หน่วยงานรับผิดชอบ":"สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสตูล","งบจัดสรรบาท":51000,"เบิกจ่ายบาท":32000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D043","รหัสกิจกรรม":"2568-สค-087","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลบ้านแหลม","งบจัดสรรบาท":344000,"เบิกจ่ายบาท":273000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D043","รหัสกิจกรรม":"2568-สธ-022","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลบ้านแหลม","งบจัดสรรบาท":435500,"เบิกจ่ายบาท":259000},
